1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- ,redis,6.8133,userhandlers,2.5774,identityapi,2.3251,rui,0.4588,fileapi,-1.0,identity,-14.5989,userapi,-29.7042
22, -- ,redis,5.6515,identityapi,1.5175,fileapi,1.0,rui,0.4588,userhandlers,-3.625,identity,-7.804,userapi,-12.2952
23, -- ,redis,3.1722,identityapi,-2.0855,identity,-2.1364,userhandlers,-3.4563,rui,-4.1317,userapi,-16.277
24, -- ,redis,1.5241,scorm,0.0,identity,-3.6167,userhandlers,-3.7494,identityapi,-4.1723,rui,-4.3823,userapi,-24.0883
25, -- ,redis,4.7185,identityapi,1.5318,userhandlers,-0.5972,rui,-1.3351,identity,-2.419,userapi,-21.5127
26, -- ,redis,5.0895,userapi,3.0,identityapi,1.0749,userhandlers,0.3617,identity,-0.3486,rui,-1.492
27, -- ,redis,3.5667,identityapi,-0.9956,rui,-2.7647,identity,-2.7999,userhandlers,-4.0681
28, -- ,redis,2.7109,userhandlers,-2.9294,identity,-3.0211,identityapi,-3.0571,rui,-4.5214
29, -- ,redis,5.7845,identityapi,0.6639,userhandlers,-0.3411,rui,-2.6157,identity,-2.6948
30, -- ,redis,6.3768,identityapi,3.4664,userapi,2.1436,userhandlers,-0.125,fileapi,-1.4142,rui,-1.7724,identity,-24.3909
31, -- ,redis,3.7403,identityapi,0.5876,rui,-1.5602,identity,-2.2422,userhandlers,-3.8163,userapi,-3.9292
32, -- ,redis,1.4047,identity,-1.9464,rui,-3.2673,identityapi,-4.4191,userhandlers,-4.6923
33, -- ,identity,24.5197,redis,7.8255,identityapi,1.9414,rui,0.4006,userhandlers,0.3332
34, -- ,identity,51.8612,redis,12.6226,identityapi,9.1656,userhandlers,6.8948,rui,3.6935,userapi,0.2404
35, -- ,identity,86.7573,identityapi,17.0583,userhandlers,12.4156,redis,9.1174,rui,5.6403,userapi,0.8478
36, -- ,identity,41.4881,identityapi,18.5881,redis,15.0341,userhandlers,12.3017,rui,5.9519
37, -- ,identity,71.5582,identityapi,16.6944,redis,12.666,userhandlers,9.7052,rui,5.0463
38, -- ,identity,149.6286,identityapi,22.7407,redis,13.1919,userhandlers,12.2781,rui,5.9418
39, -- ,identity,257.0311,identityapi,26.9488,userhandlers,15.1008,redis,13.2213,rui,7.8917
40, -- ,identity,338.3717,identityapi,34.9684,userhandlers,20.3003,redis,13.8207,rui,9.2291
41, -- ,identity,346.4842,identityapi,35.1288,userhandlers,21.8337,redis,14.4022,rui,10.2982
42, -- ,identity,361.7236,identityapi,34.7438,userhandlers,21.2266,redis,14.0522,rui,10.4555
43, -- ,identity,359.6813,identityapi,32.176,userhandlers,20.5076,redis,14.0397,rui,10.154
44, -- ,identity,379.3715,identityapi,34.1582,userhandlers,19.8847,redis,13.0398,rui,9.5639,userapi,0.0
45, -- ,identity,384.0524,identityapi,35.2558,userhandlers,19.6584,redis,13.5015,rui,9.2291
46, -- ,identity,404.0673,identityapi,34.0435,userhandlers,20.2231,redis,13.2497,rui,9.5407
47, -- ,identity,374.6365,identityapi,34.6381,userhandlers,19.7887,redis,12.6148,rui,9.5307
48, -- ,identity,385.2412,identityapi,33.5885,userhandlers,19.893,redis,12.6263,rui,9.5407
49, -- ,identity,397.8149,identityapi,31.4842,redis,13.2165,rui,11.2092,fileapi,0.0225,userhandlers,-41897655579.3963
50, -- ,identity,423.4518,identityapi,32.9396,redis,13.3024,rui,11.0548,fileapi,0.0225,userapi,0.0,userhandlers,-41897655576.2598
51, -- ,identity,430.9059,identityapi,34.7994,userhandlers,21.0008,redis,13.5714,rui,10.4656,userapi,-0.0866
52, -- ,identity,421.0365,identityapi,32.0591,userhandlers,19.4326,redis,11.8966,rui,10.4656,userapi,1.1387
53, -- ,identity,439.3584,identityapi,30.8528,userhandlers,18.4195,redis,11.6492,rui,10.6099
54, -- ,identity,443.8044,identityapi,29.4652,userhandlers,18.0041,redis,11.8254,rui,10.154
55, -- ,identity,450.4535,identityapi,31.9534,userhandlers,18.8003,redis,12.9887,rui,10.0097
56, -- ,identity,458.428,identityapi,34.3728,userhandlers,19.7887,redis,13.1488,rui,10.9207,userapi,0.0
57, -- ,identity,476.337,identityapi,32.2074,userhandlers,19.0697,redis,12.181,rui,11.2092,userapi,0.0
58, -- ,identity,491.729,identityapi,31.7781,redis,11.6085,rui,11.0548,scorm,0.4054,userhandlers,-16500234993.0463
59, -- ,identity,498.2919,identityapi,30.0808,redis,11.338,rui,11.0649,scorm,0.4054,userhandlers,-16500234995.7174
60, -- ,identity,488.4382,identityapi,33.0349,userhandlers,20.0574,redis,12.3968,rui,11.0548,scorm,0.4054
61, -- ,identity,484.3382,identityapi,32.4206,rui,11.3766,redis,11.0778,userhandlers,5.1865,userapi,-0.6867
62, -- ,identity,502.4667,identityapi,32.0578,rui,12.11,redis,8.0558,userhandlers,6.9832,userapi,-0.6867
63, -- ,identity,511.0473,identityapi,30.9533,userhandlers,25.2265,rui,11.8085,redis,5.0832
64, -- ,identity,543.5509,identityapi,32.1296,userhandlers,19.6832,rui,12.9007,redis,4.5716
65, -- ,identity,534.7478,identityapi,33.7962,userhandlers,20.7769,rui,11.5208,redis,6.7472
