1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- 
22, -- 
23, -- ,identity,0.0,redis,-2.9943,fileapi,-6.7966
24, -- ,identity,2.0,redis,-2.4324,fileapi,-2.6792
25, -- ,identity,2.7829,fileapi,-1.4205,userhandlers,-1.7319,redis,-2.7964
26, -- ,redis,-0.7376,userhandlers,-2.0
27, -- ,fileapi,-0.8894,userhandlers,-2.9375
28, -- ,fileapi,-0.6238
29, -- ,fileapi,-2.325
30, -- ,fileapi,-1.1389,redis,-4.0
31, -- ,userapi,-0.0127,fileapi,-1.0683
32, -- ,redis,2465.025,userapi,-0.0127,fileapi,-0.66
33, -- ,redis,5523.6324,fileapi,-1.5882
34, -- ,redis,13313.0029,userhandlers,91.4375,userapi,14.1587,fileapi,-1.5882
35, -- ,redis,20611.6704,identity,17111.9272,userhandlers,101.4179,userapi,22.1183,fileapi,-0.4828
36, -- ,redis,22281.5403,userhandlers,70.977,fileapi,-1.3675
37, -- ,redis,16965.7079,userhandlers,7.0912,fileapi,-1.875
38, -- ,redis,18813.6101,userhandlers,10.1762,fileapi,-1.871
39, -- ,redis,20943.8448,userhandlers,14.4334,fileapi,-1.8339,userapi,-4.8812
40, -- ,redis,27723.7913,userhandlers,11.4902,author,5.5343,fileapi,-1.458,identity,-46.9249
41, -- ,redis,27817.7191,userhandlers,7.2876,fileapi,-1.8702
42, -- ,redis,28026.8845,scorm,7.52,userhandlers,6.816,ui,0.2254,fileapi,-2.18
43, -- ,redis,30225.3648,scorm,20.786,userhandlers,6.3528,userapi,6.3146,fileapi,-2.18
44, -- ,redis,31510.0515,identity,5777.638,scorm,20.316,userapi,11.505,userhandlers,3.0368,fileapi,-1.9034
45, -- ,redis,32256.1819,identity,51.5765,userhandlers,0.1679,fileapi,-1.1678
46, -- ,redis,31665.494,identity,42.4271,userhandlers,0.6434,fileapi,-0.6603
47, -- ,redis,31353.6275,userapi,18.7396,fileapi,-1.5139
48, -- ,redis,32237.0869,userapi,72.3585,scorm,0.5107,identity,-0.3651,fileapi,-244.7349
49, -- ,fileapi,1218554.5043,redis,34480.3298,userapi,51.2573,scorm,0.5107,identity,-50.4824
50, -- ,redis,34994.8317,userapi,18.68,scorm,0.5107,fileapi,-203.4013
51, -- ,redis,36026.7301,fileapi,-0.9221
52, -- ,redis,35019.2486,fileapi,-2.7238
53, -- ,redis,37240.7621,fileapi,-1.7718
54, -- ,redis,37356.8468,fileapi,-1.9034
55, -- ,redis,37762.0847,fileapi,-0.4353
56, -- ,redis,37959.2918,userhandlers,0.0317,fileapi,-2.1241,identity,-52.5556
57, -- ,redis,37883.1799,ui,0.111,fileapi,-2.1241,identity,-10.6522
