1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- ,gradeservice,-1.4048,userapi,-1.7284
22, -- ,gradeservice,2.4347,userapi,1.0711
23, -- ,gradeservice,14.5042,userapi,0.3541
24, -- ,gradeservice,1.4631,userapi,0.0361
25, -- ,userapi,0.6852,gradeservice,-8.9258
26, -- ,gradeservice,4.5726,userapi,0.7221,identity,0.0,scormhandlers,-7.0
27, -- ,scormhandlers,14.6096,userapi,1.0686,gradeservice,-4.4667
28, -- ,gradeservice,0.8994,userapi,0.0913,fileapi,0.0,scormhandlers,-5.3386
29, -- ,fileapi,1.0,userapi,0.4094,gradeservice,-11.7203
30, -- ,userapi,1.0565,gradeservice,-6.2125
31, -- ,userapi,0.5893,redis,0.0,identity,-4.2426,gradeservice,-5.9793
32, -- ,userapi,-0.699,redis,-4.0,gradeservice,-4.3797
33, -- ,userapi,17.159,gradeservice,3.2719,redis,-6.3288
34, -- ,gradeservice,34.2775,userapi,30.628,redis,0.0
35, -- ,userapi,51.329,gradeservice,25.3446,redis,6.0,identity,5.0,userhandlers,0.0
36, -- ,userapi,34.3359,redis,4.2426,gradeservice,3.8694
37, -- ,userapi,35.4567,redis,3.4641,gradeservice,-1.8491
38, -- ,userapi,66.5643,redis,3.0,gradeservice,0.2678
39, -- ,userapi,132.2427,redis,3.0,gradeservice,-1.8015
40, -- ,userapi,178.4041,gradeservice,4.3305,redis,3.0
41, -- ,userapi,183.1826,redis,3.0,gradeservice,0.3023
42, -- ,userapi,183.7146,redis,3.0,gradeservice,-0.0483
43, -- ,userapi,189.0526,fileapi,14.0219,redis,3.0,gradeservice,-4.2711
44, -- ,userapi,193.9687,fileapi,8.2439,redis,3.0,gradeservice,-1.7682
45, -- ,userapi,192.6259,gradeservice,44.7105,fileapi,8.2439,redis,3.0
46, -- ,userapi,195.3423,gradeservice,44.5797,redis,3.3788
47, -- ,gradeservice,237.4475,userapi,199.7006,redis,3.3788
48, -- ,gradeservice,224.1826,userapi,210.5378,redis,3.3788,identity,-9.3335
49, -- ,gradeservice,215.3192,userapi,210.1927,redis,3.0
50, -- ,userapi,214.7062,gradeservice,108.3524,redis,3.0
51, -- ,userapi,217.2814,gradeservice,70.8201,fileapi,31.6965,redis,3.0
52, -- ,userapi,223.4531,gradeservice,67.1567,fileapi,26.2799,redis,3.0
53, -- ,userapi,219.5833,fileapi,26.4599,redis,3.0,gradeservice,1.9544
54, -- ,userapi,224.7674,redis,3.0,gradeservice,-4.25
55, -- ,userapi,234.369,redis,3.0,gradeservice,-4.6007
56, -- ,userapi,237.0806,redis,3.0,gradeservice,-5.0253
57, -- ,userapi,248.9836,redis,3.0,gradeservice,-4.1725
58, -- ,userapi,248.7558,gradeservice,6.2158,redis,3.0
59, -- ,userapi,249.8854,redis,3.0,gradeservice,-0.6164
60, -- ,userapi,247.3019,gradeservice,11.142,redis,3.0
61, -- ,userapi,252.6373,gradeservice,9.8845,redis,3.0,identity,1.9773
62, -- ,userapi,261.19,gradeservice,16.0996,redis,3.0,identity,-4.977
63, -- ,userapi,265.734,gradeservice,16.4502,redis,3.0,identity,-8.7441
64, -- ,userapi,267.5966,gradeservice,12.2353,redis,3.0
65, -- ,userapi,274.9895,redis,3.0,gradeservice,0.2239
66, -- ,userapi,280.6274,gradeservice,8.4458,redis,3.0
67, -- ,userapi,286.815,redis,3.0,gradeservice,-0.8528
68, -- ,userapi,290.0198,redis,3.0
69, -- ,userapi,294.2593,redis,3.0,scormhandlers,-6.0571
70, -- ,userapi,297.7786,redis,3.0,gradeservice,0.8045,scormhandlers,-6.0571
71, -- ,userapi,298.7747,redis,3.0,gradeservice,-0.5021,scormhandlers,-6.0571
72, -- ,userapi,300.7378,redis,3.0,scormhandlers,-6.0571,gradeservice,-133.2789
73, -- ,userapi,299.2899,redis,3.0,gradeservice,-132.2653
74, -- ,userapi,304.0121,gradeservice,8.8323,redis,3.0
75, -- ,userapi,311.7447,gradeservice,26.4222,redis,3.0
76, -- ,userapi,317.869,gradeservice,22.4552,redis,3.0,identity,-9.3306
77, -- ,userapi,282.7517,redis,3.0,gradeservice,-7.7355
78, -- ,userapi,290.9266,redis,3.0
79, -- ,userapi,297.5287,redis,3.0,gradeservice,-0.8528
80, -- ,userapi,340.1863,redis,3.0,gradeservice,-1.8015
81, -- ,userapi,339.947,redis,3.0,gradeservice,-5.835
82, -- ,userapi,340.3763,redis,3.0,gradeservice,-4.1154
83, -- ,userapi,337.5953,gradeservice,8.7721,redis,3.0
84, -- ,userapi,347.4376,gradeservice,8.312,redis,3.0
85, -- ,userapi,350.5865,redis,3.0,gradeservice,-0.6147
86, -- ,userapi,362.6155,gradeservice,5.4345,redis,3.0,userhandlers,0.1089
87, -- ,userapi,360.213,redis,3.0,gradeservice,-0.1616
88, -- ,userapi,368.3002,gradeservice,14.3544,redis,3.0
89, -- ,userapi,374.1535,gradeservice,26.3725,redis,3.0
90, -- ,userapi,373.363,gradeservice,26.5179,redis,3.0
91, -- ,userapi,378.5843,gradeservice,5.0318,redis,3.0
92, -- ,userapi,380.7793,gradeservice,3.029,redis,3.0
93, -- ,userapi,390.5214,redis,3.0,gradeservice,-2.2986
94, -- ,userapi,395.3372,redis,3.0,gradeservice,-3.7655
