1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- ,scorm,0.0894,fileapi,-1.3274,identity,-4.0019,gradeservice,-4.2152,userapi,-12.7437
22, -- ,scorm,3.1333,identity,1.291,gradeservice,1.1622,fileapi,0.0774
23, -- ,scorm,1.8037,identity,1.118,gradeservice,0.6924,scormhandlers,-7.7291
24, -- ,scorm,1.1132,gradeservice,0.9907,identity,-0.8944,scormhandlers,-13.8102
25, -- ,gradeservice,3.701,fileapi,1.3015,scorm,1.0085,identity,-0.8165,scormhandlers,-6.0408,userapi,-18.0247
26, -- ,gradeservice,15.3219,identity,0.0,fileapi,-0.4385,scorm,-0.5977,userapi,-21.6951
27, -- ,fileapi,1.2361,scorm,-2.6629,gradeservice,-3.3482,userapi,-9.4626
28, -- ,fileapi,-1.6394,gradeservice,-2.2361,scorm,-4.2604
29, -- ,scorm,1.6706,gradeservice,-2.2361
30, -- ,identity,5.0,fileapi,1.3411,gradeservice,-0.7746,userapi,-1.525,scorm,-2.3436
31, -- ,fileapi,40.3797,scormhandlers,11.5135,identity,-0.8165,userapi,-1.0,scorm,-2.5486,gradeservice,-14.0596
32, -- ,scormhandlers,19.7435,fileapi,13.3669,identity,1.0,userhandlers,0.0,userapi,0.0,scorm,-4.308,gradeservice,-12.3396
33, -- ,fileapi,32.0236,scormhandlers,21.0163,gradeservice,13.2538,userhandlers,2.0,scorm,1.7703,identity,-0.7071
34, -- ,fileapi,18.7456,userhandlers,18.4665,scormhandlers,2.0381,identity,2.0,gradeservice,1.8377,scorm,1.7703
35, -- ,fileapi,18.6883,userhandlers,16.1236,scorm,-1.7624,gradeservice,-2.4206,identity,-7.6483
36, -- ,fileapi,18.5974,userhandlers,10.0812,scorm,-1.4729,gradeservice,-4.6075
37, -- ,userhandlers,9.2161,scorm,0.0921,gradeservice,-1.9302,fileapi,-21.7737
38, -- ,userhandlers,11.5169,fileapi,4.7603,scorm,4.0009,gradeservice,-0.8443
39, -- ,userhandlers,24.2299,scorm,3.1106,identity,-0.9093,fileapi,-1.4697,userapi,-4.7914,gradeservice,-12.2508
40, -- ,userhandlers,31.6272,userapi,0.0071,scorm,-0.6565,identity,-0.7747,gradeservice,-2.9383,fileapi,-4.1411
41, -- ,userhandlers,99.8569,scorm,-0.0791,gradeservice,-0.4472,identity,-0.7714,fileapi,-33.4135
42, -- ,userhandlers,97.5437,scorm,2.0174,ztool,0.0716,userapi,0.0105,gradeservice,-0.4472,fileapi,-13.8189
43, -- ,userhandlers,99.4934,userapi,13.2676,scorm,0.5597,identity,0.1693,gradeservice,-1.3093,fileapi,-196.1753
44, -- ,userhandlers,103.5512,identity,41.9066,userapi,13.9409,scorm,-2.2613,gradeservice,-22.0851,fileapi,-194.9312
45, -- ,userhandlers,108.8684,gradeservice,0.3555,identity,-0.7747,scorm,-4.3579,userapi,-6.5996
46, -- ,userhandlers,103.5628,gradeservice,2.766,identity,-0.7747,scorm,-4.3579
47, -- ,userhandlers,108.671,scormhandlers,0.05,scorm,-0.0791,gradeservice,-0.1888
48, -- ,userhandlers,108.7002,gradeservice,1.441,scorm,1.4401,scormhandlers,0.05,userapi,-6.5995
49, -- ,userhandlers,118.5126,gradeservice,2.7235,identity,-0.7071,scorm,-3.7191,userapi,-6.5995
50, -- ,userhandlers,116.5392,redis,1.0911,gradeservice,-0.4472,scorm,-3.7191
51, -- ,userhandlers,117.2827,redis,2.6285,scorm,-2.2613,gradeservice,-4.7249
52, -- ,userhandlers,115.2541,redis,2.6285,scorm,-2.2613,gradeservice,-6.3627
53, -- ,userhandlers,123.4287,gradeservice,36.8345,redis,2.6285,scorm,-3.7191
54, -- ,userhandlers,123.8091,gradeservice,33.1552,redis,2.6285,identity,-0.7071,scorm,-3.7191
55, -- ,userhandlers,133.8001,gradeservice,58.8419,redis,2.6285,scorm,0.5597,identity,-0.7071
56, -- ,userhandlers,134.2168,gradeservice,14.363,userapi,8.1728,redis,2.6285,identity,-0.7747,fileapi,-0.8554,scorm,-3.7191
57, -- ,userhandlers,140.915,userapi,11.9782,gradeservice,8.7063,redis,2.6285,identity,-0.7747,fileapi,-0.8554,scorm,-2.8304
58, -- ,userhandlers,139.1617,gradeservice,4.6212,redis,2.6285,scorm,-1.95,userapi,-5.2761
59, -- ,userhandlers,139.3254,gradeservice,3.3119,redis,2.6285,scorm,-2.2613
60, -- ,userhandlers,140.883,redis,2.6285,scorm,-0.6565
61, -- ,userhandlers,145.5876,redis,2.6285,scorm,-4.9352,identity,-5.6737,gradeservice,-7.3792,fileapi,-154.1296
62, -- ,userhandlers,149.013,userapi,30.871,redis,2.6285,gradeservice,-0.4472,scorm,-0.6471,identity,-0.7747,fileapi,-217.671
63, -- ,userhandlers,150.521,userapi,29.8387,gradeservice,3.5059,redis,2.6285,scorm,0.8804,fileapi,-105.0542
64, -- ,userhandlers,151.2879,userapi,30.871,redis,2.6285,gradeservice,-1.166,scorm,-3.4775,fileapi,-28.6198
65, -- ,userhandlers,157.7216,gradeservice,5.1397,redis,2.6285,scorm,0.3594,fileapi,-1.7489
66, -- ,userhandlers,160.3453,gradeservice,7.1221,redis,2.6285,scorm,0.9285,scormhandlers,0.05,identity,-0.7747,userapi,-5.7187
67, -- ,userhandlers,164.79,redis,2.6285,gradeservice,1.9308,identity,1.2909,scormhandlers,0.05,scorm,-3.4775
68, -- ,userhandlers,162.5771,gradeservice,127.5034,redis,2.6285,identity,1.2909,scorm,0.8013
69, -- ,userhandlers,165.5297,gradeservice,115.2545,redis,2.6285,identity,0.2909,scorm,-0.718,fileapi,-2.7687
70, -- ,gradeservice,214.7456,userhandlers,165.1465,redis,2.6285,scorm,0.8012,identity,0.2909,userapi,0.0032,fileapi,-2.4509
71, -- ,userhandlers,165.8622,gradeservice,98.3594,redis,2.6285,userapi,0.3517,fileapi,-0.5377,scorm,-0.718,identity,-0.7747
72, -- ,userhandlers,168.4495,gradeservice,100.3404,redis,2.6285,identity,-0.7747,fileapi,-0.8554,userapi,-1.6929,scorm,-2.9001
73, -- ,userhandlers,174.1896,redis,2.6285,gradeservice,0.526,userapi,-0.0568,scorm,-0.0698,identity,-0.7747
74, -- ,userhandlers,181.4339,gradeservice,2.7163,redis,2.6285,scorm,1.4577,identity,-1.4739,fileapi,-2.4828,userapi,-11.0163
75, -- ,userhandlers,184.1946,userapi,7.0169,gradeservice,5.9588,redis,2.6285,scormhandlers,0.05,identityapi,0.0057,identity,-1.4818,fileapi,-2.4828,scorm,-3.4775
76, -- ,userhandlers,186.1991,gradeservice,5.385,redis,2.6285,scormhandlers,0.05,identity,-0.6404,scorm,-0.8036,fileapi,-1.7489
