1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- ,scorm,1.4387,scormhandlers,1.0045,gradeservice,-7.1153,redis,-10.3923,userapi,-26.0796,identity,-26.415,fileapi,-32.7804
22, -- ,userapi,2.0,scorm,1.3806,scormhandlers,0.5271,gradeservice,-1.0802,fileapi,-2.4312,redis,-6.3485
23, -- ,scorm,2.2536,gradeservice,-1.5221,fileapi,-2.849,redis,-11.3152
24, -- ,scorm,2.5245,redis,-0.6082,fileapi,-1.5523,gradeservice,-4.0856
25, -- ,scorm,2.8404,redis,-0.6747,gradeservice,-9.6826
26, -- ,scorm,2.4879,scormhandlers,1.1291,identity,-2.5838,gradeservice,-5.3291
27, -- ,scormhandlers,0.8976,scorm,0.1716,gradeservice,-11.6371
28, -- ,scorm,-0.146,scormhandlers,-0.285,fileapi,-6.0635,gradeservice,-13.3806
29, -- ,scorm,1.7471,scormhandlers,0.7821,redis,-0.7216,fileapi,-6.6138,gradeservice,-8.7931
30, -- ,scorm,2.9622,scormhandlers,1.6935,identityapi,0.0,userapi,0.0,identity,-0.5743,gradeservice,-1.1051,fileapi,-7.4977
31, -- ,identityapi,6.0,gradeservice,1.6119,userapi,0.0,scorm,-0.8569,fileapi,-1.3174,identity,-4.8503
32, -- ,redis,32.43,identityapi,8.4262,scorm,-0.424,gradeservice,-3.5785
33, -- ,redis,56.3172,scorm,0.6626,gradeservice,-0.1362,fileapi,-4.7496
34, -- ,redis,62.2044,scormhandlers,3.3259,gradeservice,0.7203,scorm,0.5862,fileapi,-3.4147
35, -- ,redis,97.9553,gradeservice,5.7259,scormhandlers,4.3144,scorm,1.1975,identity,0.3874,fileapi,-3.4147
36, -- ,redis,133.3927,scormhandlers,5.4381,scorm,0.3904,gradeservice,-0.7841,fileapi,-2.2976
37, -- ,redis,169.0973,scormhandlers,6.1873,scorm,1.2694,identityapi,1.1599,gradeservice,-5.7687
38, -- ,redis,205.4199,scormhandlers,7.3111,identityapi,2.6399,scorm,-2.5439,gradeservice,-4.4712
39, -- ,redis,241.4362,scormhandlers,8.2995,identityapi,2.5599,userapi,0.391,gradeservice,-3.4841,scorm,-4.8622
40, -- ,redis,277.693,scormhandlers,9.4233,gradeservice,2.9293,userapi,0.0071,scorm,-6.4457
41, -- ,redis,313.2416,scormhandlers,10.1725,gradeservice,3.8977,scorm,-8.6553
42, -- ,redis,348.7457,scormhandlers,11.0465,gradeservice,-2.311,fileapi,-4.2075,scorm,-11.257
43, -- ,redis,384.3358,scormhandlers,11.6708,gradeservice,0.0951,fileapi,-3.4147,scorm,-14.1135
44, -- ,redis,419.9919,identity,15.7009,scormhandlers,12.2951,gradeservice,6.626,fileapi,-3.4147,scorm,-13.8869,userapi,-193.9201
45, -- ,redis,456.3012,gradeservice,17.678,scormhandlers,12.6593,fileapi,-2.2976,scorm,-15.7654
46, -- ,redis,491.7242,gradeservice,21.8876,scormhandlers,13.4084,scorm,-16.5873
47, -- ,redis,527.6707,gradeservice,17.4135,scormhandlers,13.9079,scorm,-17.1601
48, -- ,redis,562.8269,scormhandlers,14.2825,gradeservice,13.9377,scorm,-18.3883
49, -- ,redis,598.5157,scormhandlers,14.5322,gradeservice,13.1898,identity,0.3931,userhandlers,0.0002,userapi,-8.234,scorm,-15.2545
50, -- ,redis,633.9185,gradeservice,25.3174,scormhandlers,15.0316,scorm,-17.5085
51, -- ,redis,669.5232,gradeservice,41.1065,scormhandlers,15.2814,scorm,-18.6645
52, -- ,redis,705.2778,gradeservice,50.2128,scormhandlers,15.2814,fileapi,-2.0135,scorm,-20.7387
53, -- ,redis,740.9885,gradeservice,47.8086,scormhandlers,15.4062,userapi,0.2433,fileapi,-2.0135,scorm,-20.1447
54, -- ,redis,776.4893,gradeservice,94.3616,scormhandlers,15.7808,fileapi,-2.2389,scorm,-21.5638
55, -- ,redis,812.8589,gradeservice,80.0034,scormhandlers,15.6559,fileapi,-0.2253,scorm,-22.8923
56, -- ,redis,848.8069,gradeservice,92.8625,scormhandlers,15.6559,identity,0.6549,scorm,-24.5067
57, -- ,redis,884.7499,scormhandlers,15.7808,gradeservice,14.4603,scorm,-25.1076
58, -- ,userapi,1081.8593,redis,920.9063,scormhandlers,15.6559,gradeservice,10.928,scorm,-22.9659
59, -- ,redis,957.1028,userapi,658.8212,gradeservice,18.3134,scormhandlers,15.7808,scorm,-24.5972
60, -- ,redis,993.9342,scormhandlers,15.7808,gradeservice,8.2822,userapi,3.1354,scorm,-26.9794
61, -- ,redis,1028.9109,scormhandlers,15.4062,gradeservice,9.2368,scorm,-28.7323
62, -- ,redis,1064.7171,scormhandlers,15.4062,identity,2.7232,identityapi,0.78,userhandlers,0.0011,scorm,-29.1202,gradeservice,-245357706345.4564
63, -- ,redis,1100.8,scormhandlers,15.5311,identityapi,2.1266,identity,1.2583,scorm,-30.5426,gradeservice,-245357706347.1649
64, -- ,redis,1136.6753,scormhandlers,15.7808,identityapi,0.2533,scorm,-34.0875,gradeservice,-245357706340.666
65, -- ,redis,1172.2125,gradeservice,29.8509,scormhandlers,15.7808,scorm,-34.7532
66, -- ,redis,1207.1176,scormhandlers,15.4062,gradeservice,13.6018,scorm,-36.7924
67, -- ,redis,1243.1897,gradeservice,31.5323,scormhandlers,15.6559,scorm,-35.9701
68, -- ,redis,1279.6126,gradeservice,38.7865,scormhandlers,15.7808,scorm,-38.4402
69, -- ,redis,1315.66,gradeservice,58.3316,scormhandlers,15.9057,scorm,-40.7299
70, -- ,redis,1351.2612,scormhandlers,15.6559,userapi,6.2795,gradeservice,-2.0192,scorm,-40.6916
71, -- ,redis,1386.7844,scormhandlers,15.9057,gradeservice,-7.6833,scorm,-41.1068,userapi,-118.6113
72, -- ,redis,1422.6882,scormhandlers,15.9057,gradeservice,-4.1968,scorm,-40.4233
73, -- ,redis,1458.6077,scormhandlers,47.2055,gradeservice,-4.0448,scorm,-43.0376
74, -- ,redis,1494.3199,scormhandlers,30.8998,userapi,0.885,gradeservice,-3.1283,fileapi,-4.2075,scorm,-43.0826
75, -- ,redis,1530.1605,scormhandlers,33.2398,gradeservice,-2.9762,fileapi,-3.4147,scorm,-44.5374,userapi,-54.0751
