1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- 
22, -- 
23, -- ,userapi,-3.1832
24, -- ,redis,0.0,userapi,-1.4973
25, -- ,identity,0.0,userapi,-0.7136
26, -- ,scormhandlers,-0.9045,userapi,-3.9188
27, -- ,scormhandlers,-0.75,userapi,-4.0315
28, -- ,redis,-1.0,userapi,-3.1319
29, -- ,redis,-0.7071,userapi,-1.2204
30, -- ,identity,5.0,userapi,-4.2587
31, -- ,redis,0.0,userapi,-5.4254
32, -- ,scormhandlers,0.0,userapi,-4.9828,redis,-9.0
33, -- ,userapi,6.0441,scormhandlers,-6.0,redis,-6.3493
34, -- ,userapi,13.2665,scormhandlers,8.4308,userhandlers,0.0
35, -- ,userapi,6.8325,userhandlers,1.0
36, -- ,userapi,10.9529
37, -- ,userapi,9.1459
38, -- ,userapi,11.3298,scormhandlers,1.8371,redis,-0.5801
39, -- ,identity,2.6807,scormhandlers,1.5471,userapi,-12.5238
40, -- ,userapi,6.3127,identity,2.6717
41, -- ,userapi,12.3368
42, -- ,userapi,14.5504
43, -- ,userapi,11.1016,userhandlers,0.0,identity,-4.7174
44, -- ,userapi,17.2446,userhandlers,-2.0,identity,-2.3185
45, -- ,userapi,15.2993,scormhandlers,0.0,userhandlers,-2.8021
46, -- ,userapi,17.9105,scormhandlers,-0.38
47, -- ,userapi,21.8873,scormhandlers,-0.38
48, -- ,userapi,25.73
49, -- ,userapi,25.0921
50, -- ,userapi,25.3704
51, -- ,userapi,26.1415
52, -- ,userapi,31.0505
53, -- ,userapi,56.5396
54, -- ,userapi,120.1745
55, -- ,userapi,43.2788
56, -- ,userapi,40.0179
57, -- ,userapi,42.3958
58, -- ,userapi,45.0562,identity,-3.5605
59, -- ,userapi,45.8371,fileapi,0.038
60, -- ,userapi,48.2678,fileapi,0.038
61, -- ,userapi,52.3554
62, -- ,userapi,55.5965,identity,8.2533
63, -- ,userapi,56.7305,identity,4.7588
64, -- ,userapi,58.9198,identity,7.64
65, -- ,userapi,61.6249
66, -- ,userapi,65.1534
67, -- ,userapi,67.286
68, -- ,userapi,69.1054
69, -- ,userapi,71.9443,scormhandlers,-43.3454
70, -- ,userapi,75.9491,scormhandlers,-46.5682
71, -- ,userapi,80.4352,scormhandlers,-35.7808
72, -- ,userapi,82.2787,scormhandlers,10.9102,identity,0.0994
73, -- ,userapi,81.9235,scormhandlers,10.5495,identity,0.0009
74, -- ,userapi,85.4584,scormhandlers,11.6315,identity,0.0009
75, -- ,userapi,87.8124,userhandlers,0.0817
76, -- ,userapi,90.5284,userhandlers,0.0853
77, -- ,userapi,71.5102
78, -- ,userapi,248.7624,identityapi,31.8598
79, -- ,userapi,345.6885,identityapi,31.8598,redis,0.0011
80, -- ,userapi,363.721,identityapi,29.8998,identity,3.3402,redis,0.9841
81, -- ,userapi,149.038,redis,0.9841
82, -- ,userapi,74.4715,redis,0.9841
83, -- ,userapi,73.6451,redis,0.9841
84, -- ,userapi,75.1531,redis,0.9841,userhandlers,0.4344
