1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- ,redis,1.5105,scorm,0.0,fileapi,-1.4974,userapi,-17.479
22, -- ,redis,1.6043,scorm,-2.0,userapi,-20.5797
23, -- ,redis,1.4962,scorm,-2.9052,userapi,-19.9335
24, -- ,redis,1.4298,userhandlers,0.0,fileapi,0.0,userapi,-15.7014
25, -- ,fileapi,6.0,redis,1.6037,userhandlers,0.0,identity,-1.2394,userapi,-12.0404
26, -- ,fileapi,21.9263,userapi,15.323,redis,1.7602,userhandlers,1.5858,identity,-5.397
27, -- ,fileapi,41.1682,userhandlers,3.172,redis,0.2065,userapi,-28.511
28, -- ,fileapi,26.6299,redis,0.0305,identity,0.0,userhandlers,-2.0958,userapi,-8.3216
29, -- ,fileapi,24.9502,identity,0.6546,redis,-0.0076,userhandlers,-2.8299
30, -- ,fileapi,32.7508,redis,0.325,userhandlers,-0.1425,userapi,-1.1167
31, -- ,fileapi,29.3456,userhandlers,1.9734,redis,0.6093
32, -- ,fileapi,80.3553,userhandlers,-1.2192,redis,-4.989
33, -- ,fileapi,88.7834,redis,2.5086,userhandlers,1.4984
34, -- ,fileapi,102.5626,redis,9.5978,userhandlers,6.7697,identity,5.6569,userapi,-7.9053
35, -- ,fileapi,62.2798,userhandlers,12.2696,redis,9.78,userapi,1.238,identityapi,0.0
36, -- ,fileapi,39.1041,redis,8.1417,userapi,7.5256,userhandlers,-2.4369
37, -- ,fileapi,16.8055,redis,6.4592,userhandlers,-3.7015
38, -- ,userapi,9.1194,redis,5.854,userhandlers,-1.3245,fileapi,-13.3238
39, -- ,userapi,10.2564,fileapi,6.7841,redis,5.4919,userhandlers,-1.5712
40, -- ,redis,5.2895,fileapi,2.036,userhandlers,-2.4783,userapi,-5.7764
41, -- ,redis,5.0739,userhandlers,-0.7745,fileapi,-3.6691
42, -- ,redis,4.8326,userhandlers,-1.7955,fileapi,-19.8074
43, -- ,userapi,13.6287,redis,4.5451,userhandlers,2.5465,fileapi,-5.4085
44, -- ,redis,4.3953,userhandlers,1.7968,userapi,-29.8254
45, -- ,userapi,36.4426,userhandlers,4.459,redis,4.2489
46, -- ,userhandlers,0.3439,redis,-4.8655,userapi,-11.4934
47, -- ,userhandlers,-0.809,redis,-11.083
48, -- ,userhandlers,18.6194,redis,-2.4697,userapi,-6.3166
49, -- ,userhandlers,39.4153,userapi,7.4834,fileapi,0.5957,redis,-1.5156
