1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- 
22, -- 
23, -- 
24, -- ,ts-execute,20.442,ts-user,18.4145,ts-station,18.159,ts-contacts,10.1002,ts-admin-travel,7.4142,ts-payment,7.0,ts-train,4.9099,ts-admin-basic-info,1.0,ts-price,0.6288,ts-config,0.5703,ts-notification,0.5465,ts-auth,0.1572,ts-delivery,0.1211,ts-admin-user,0.0,ts-admin-route,0.0,ts-ui,0.0,ts-consign,-0.1049,ts-preserve,-0.5727,ts-verification-code,-1.0,ts-travel,-1.2358,ts-assurance,-1.5983,ts-order,-1.9985,ts-security,-2.1921,ts-ticketinfo,-2.3775,ts-route,-3.8326,ts-basic,-5.0,ts-food,-5.5054,ts-food-map,-6.8071,ts-seat,-8.8281
25, -- ,ts-food,11.1552,ts-payment,8.51,ts-notification,6.0323,ts-inside-payment,6.0,ts-preserve-other,6.0,ts-train,1.1894,ts-admin-route,1.0,ts-rebook,1.0,ts-admin-basic-info,1.0,ts-admin-travel,0.604,ts-ui,0.0,ts-admin-user,0.0,ts-ticketinfo,-0.0419,ts-consign,-1.3777,ts-security,-1.5544,ts-seat,-1.9855,ts-assurance,-3.0739,ts-config,-3.1151,ts-preserve,-3.1507,ts-food-map,-3.2198,ts-user,-3.4426,ts-contacts,-3.646,ts-basic,-3.8868,ts-station,-3.971,ts-execute,-4.3667,ts-verification-code,-6.0,ts-route,-8.4517,ts-travel,-8.688,ts-price,-9.5542,ts-order,-13.1377
26, -- ,ts-order,32.0054,ts-price,16.3692,ts-config,13.6793,ts-ticketinfo,8.6456,ts-food,3.9289,ts-delivery,2.0,ts-assurance,1.7983,ts-seat,1.5037,ts-rebook,1.0,ts-auth,0.3395,ts-basic,0.1972,ts-notification,-1.0181,ts-admin-travel,-1.3997,ts-preserve,-1.6423,ts-execute,-2.2979,ts-security,-2.9318,ts-station,-3.9313,ts-user,-4.2033,ts-food-map,-4.2553,ts-consign,-4.6964,ts-admin-user,-6.0,ts-preserve-other,-6.0221,ts-contacts,-9.7373,ts-travel,-11.1394,ts-train,-12.7674,ts-payment,-13.1178,ts-route,-14.7419,ts-inside-payment,-16.3018
27, -- ,ts-inside-payment,15.5791,ts-verification-code,5.0,ts-preserve,1.5311,ts-notification,1.3767,ts-security,1.0075,ts-assurance,1.0,ts-basic,0.5044,ts-station,0.0,ts-admin-order,0.0,ts-rebook,0.0,ts-consign,0.0,ts-auth,-1.3587,ts-delivery,-1.394,ts-train,-2.1125,ts-seat,-2.8347,ts-config,-2.9953,ts-route,-5.0,ts-travel,-6.7876,ts-ticketinfo,-6.8673,ts-food,-6.9903,ts-price,-7.5062,ts-contacts,-7.6805,ts-order,-8.5408,ts-execute,-9.1643,ts-payment,-9.9004,ts-user,-14.0514
28, -- ,ts-train,14.7693,ts-station,13.616,ts-contacts,11.3173,ts-inside-payment,6.4393,ts-notification,5.2396,ts-basic,4.2693,ts-preserve,3.4574,ts-config,2.3574,ts-ticketinfo,1.7267,ts-verification-code,1.0,ts-cancel,0.0,ts-user,0.0,ts-delivery,0.0,ts-auth,-0.589,ts-execute,-1.9164,ts-seat,-1.9971,ts-preserve-other,-3.4523,ts-travel,-3.5124,ts-security,-4.1066,ts-consign,-6.0,ts-payment,-6.2923,ts-admin-order,-7.0,ts-order,-8.14,ts-food,-9.23,ts-route,-10.2862,ts-price,-14.4971
29, -- ,ts-travel,6610096184738961.0,ts-basic,450.9503,ts-train,78.1192,ts-config,77.9304,ts-station,77.4918,ts-price,48.8654,ts-security,8.8066,ts-preserve,7.909,ts-execute,0.6759,ts-user,0.2673,ts-ticketinfo,-0.5828,ts-food,-1.4021,ts-notification,-1.4633,ts-seat,-1.8035,ts-rebook,-2.49,ts-preserve-other,-3.7975,ts-payment,-4.8932,ts-contacts,-7.7409,ts-inside-payment,-11.7308,ts-route,-30.3005,ts-auth,-37.4072,ts-order,-41.4953,ts-consign,-62.0
30, -- ,ts-travel,6623945052082594.0,ts-basic,558172694870.5619,ts-user,96.1012,ts-security,41.4549,ts-contacts,33.8909,ts-admin-order,24.0483,ts-notification,3.5298,ts-delivery,0.185,ts-seat,-0.0285,ts-preserve,-0.8834,ts-auth,-0.9699,ts-config,-2.059,ts-price,-3.1495,ts-ticketinfo,-4.1829,ts-food-map,-6.1505,ts-payment,-6.3552,ts-order,-13.0141,ts-food,-18.5562,ts-inside-payment,-21.3453,ts-execute,-28.1187,ts-assurance,-38.6176,ts-route,-42.4111,ts-station,-52.1291,ts-train,-91.3708
31, -- ,ts-travel,6623945052082772.0,ts-basic,558172694072.1134,ts-user,284.9226,ts-price,92.6453,ts-contacts,55.1295,ts-order,12.3734,ts-delivery,2.4737,ts-food-map,2.2283,ts-security,2.192,ts-notification,0.3733,ts-ticketinfo,-0.8442,ts-execute,-1.2716,ts-route,-6.1433,ts-payment,-6.5534,ts-seat,-7.2834,ts-food,-11.3786,ts-inside-payment,-17.4179,ts-admin-order,-19.6083,ts-assurance,-28.0,ts-config,-28.1345,ts-preserve,-31.8454,ts-train,-35.2038,ts-station,-40.8698
32, -- ,ts-travel,6623945052081721.0,ts-basic,558172693998.284,ts-assurance,45.5,ts-user,42.2624,ts-inside-payment,29.3749,ts-cancel,28.89,ts-contacts,13.7769,ts-train,2.6961,ts-delivery,2.363,ts-preserve,1.2517,ts-execute,0.1892,ts-notification,-0.3279,ts-auth,-0.8046,ts-ticketinfo,-1.6195,ts-price,-1.9707,ts-seat,-2.1432,ts-food-map,-2.8782,ts-order,-3.3472,ts-route,-3.394,ts-admin-order,-3.5306,ts-payment,-4.7398,ts-config,-5.6809,ts-admin-user,-8.52,ts-station,-15.8136,ts-security,-16.045,ts-food,-19.4289
33, -- ,ts-travel,6623945052081773.0,ts-basic,558172694073.3593,ts-ticketinfo,568.449,ts-seat,78.9353,ts-config,63.4028,ts-station,34.2643,ts-price,24.5741,ts-route,19.82,ts-auth,16.9219,ts-verification-code,13.1491,ts-order,8.5337,ts-contacts,7.5869,ts-security,5.7047,ts-notification,5.5187,ts-delivery,5.515,ts-cancel,3.48,ts-food-map,-1.5862,ts-admin-order,-5.9291,ts-payment,-6.689,ts-user,-7.412,ts-execute,-10.6845,ts-inside-payment,-11.1956,ts-consign,-18.6053,ts-preserve,-19.3653,ts-food,-24.6436,ts-assurance,-36.0,ts-train,-2784777402075745.0
34, -- ,ts-travel,6550629616742076.0,ts-basic,558172694053.3885,ts-user,579.5211,ts-route,78.8661,ts-order,26.6445,ts-cancel,13.56,ts-price,11.0147,ts-contacts,6.0106,ts-food-map,5.3188,ts-station,3.519,ts-preserve-other,2.0,ts-verification-code,1.5039,ts-notification,0.3733,ts-preserve,-0.6206,ts-seat,-0.6243,ts-delivery,-0.6331,ts-payment,-6.2206,ts-admin-order,-10.9484,ts-security,-12.3963,ts-food,-13.0799,ts-execute,-13.4914,ts-inside-payment,-18.9978,ts-config,-35.0923,ts-ticketinfo,-39.9402,ts-train,-2784777402075830.5
35, -- ,ts-inside-payment,16.2062,ts-payment,15.2615,ts-admin-order,12.0,ts-consign,6.0,ts-order,5.2003,ts-security,3.3996,ts-notification,2.2805,ts-auth,1.4117,ts-contacts,0.9608,ts-route,0.8233,ts-ticketinfo,0.2199,ts-cancel,0.0,ts-rebook,0.0,ts-config,-0.444,ts-seat,-0.5257,ts-delivery,-0.7045,ts-basic,-0.7528,ts-food-map,-0.972,ts-price,-1.0156,ts-preserve,-1.3996,ts-execute,-4.7393,ts-user,-5.3556,ts-food,-6.143,ts-station,-7.5536,ts-travel,-14.069,ts-train,-14.4865
36, -- ,ts-assurance,6.0,ts-seat,2.0175,ts-ticketinfo,0.8998,ts-auth,0.8434,ts-security,0.1452,ts-user,0.0,ts-preserve-other,0.0,ts-execute,-0.2799,ts-route,-0.7256,ts-config,-0.7609,ts-preserve,-0.9527,ts-notification,-2.152,ts-payment,-3.6965,ts-station,-4.9182,ts-train,-5.3463,ts-basic,-9.7046,ts-inside-payment,-9.9297,ts-contacts,-10.6883,ts-admin-order,-15.6995,ts-travel,-16.0643,ts-order,-17.8128
