1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- 
22, -- ,ts-order,12.0,ts-train,10.8647,ts-station,3.2484,ts-seat,2.5571,ts-admin-basic-info,1.0689,ts-delivery,1.0,ts-basic,1.0,ts-admin-order,0.6855,ts-preserve-other,0.0,ts-verification-code,0.0,ts-rebook,0.0,ts-notification,-0.9248,ts-admin-route,-1.0,ts-auth,-1.0,ts-execute,-1.6276,ts-ticketinfo,-1.8975,ts-preserve,-2.3981,ts-config,-2.6337,ts-route,-3.0155,ts-security,-3.3455,ts-price,-5.6185,ts-food,-5.8647,ts-assurance,-7.0222,ts-payment,-8.1328,ts-consign,-8.3027,ts-inside-payment,-12.0025,ts-travel,-19.9986
23, -- ,ts-user,15.7119,ts-food,7.7412,ts-assurance,5.383,ts-notification,5.3334,ts-consign,1.4721,ts-auth,1.4139,ts-delivery,1.0,ts-preserve-other,1.0,ts-config,0.8624,ts-admin-travel,0.0,ts-contacts,0.0,ts-execute,-0.2153,ts-ticketinfo,-0.3686,ts-order,-1.0,ts-verification-code,-1.0,ts-preserve,-1.0076,ts-admin-order,-1.414,ts-train,-2.1887,ts-seat,-2.8571,ts-food-map,-3.1679,ts-station,-4.1854,ts-security,-7.0703,ts-route,-9.0008,ts-inside-payment,-9.9684,ts-price,-10.8415,ts-payment,-15.4961,ts-travel,-30.0179
24, -- ,ts-travel,14.0426,ts-food,10.5003,ts-food-map,7.6414,ts-rebook,6.0,ts-assurance,5.2447,ts-security,2.4583,ts-seat,0.5661,ts-config,0.0,ts-order,-0.2951,ts-ticketinfo,-0.3551,ts-admin-travel,-1.0,ts-basic,-1.0,ts-preserve,-1.0933,ts-price,-1.3519,ts-notification,-2.5014,ts-auth,-3.9736,ts-execute,-4.1493,ts-route,-8.0371,ts-user,-8.4114,ts-payment,-8.582,ts-admin-order,-12.0,ts-train,-14.7327
25, -- ,ts-travel,22.642,ts-user,14.2947,ts-consign,14.089,ts-admin-order,12.0,ts-ticketinfo,5.6304,ts-assurance,3.1051,ts-auth,1.6939,ts-rebook,1.0129,ts-config,0.0,ts-cancel,0.0,ts-food-map,-0.9002,ts-price,-0.9144,ts-execute,-1.0,ts-preserve,-1.0,ts-notification,-1.3413,ts-route,-1.4622,ts-seat,-2.6341,ts-security,-4.7544,ts-inside-payment,-9.5271,ts-payment,-10.149,ts-train,-12.501,ts-food,-13.1957
26, -- ,ts-inside-payment,15.6779,ts-admin-order,13.372,ts-cancel,6.0,ts-ticketinfo,5.3167,ts-route,1.0,ts-execute,1.0,ts-basic,1.0,ts-station,0.0,ts-food-map,-0.173,ts-price,-0.5113,ts-seat,-0.8086,ts-config,-1.0,ts-order,-1.1441,ts-train,-1.4173,ts-food,-1.492,ts-preserve,-1.5395,ts-security,-2.3512,ts-notification,-3.5799,ts-payment,-5.6198,ts-auth,-8.4676,ts-assurance,-10.2744,ts-travel,-10.9386
27, -- ,ts-food,16.7682,ts-route,15.0,ts-payment,13.857,ts-train,11.7445,ts-seat,8.7956,ts-consign,6.0,ts-security,4.4598,ts-user,4.4104,ts-ticketinfo,3.9426,ts-preserve,2.8134,ts-price,1.7258,ts-food-map,1.7243,ts-execute,1.0,ts-station,1.0,ts-contacts,0.0,ts-auth,-0.705,ts-config,-0.9258,ts-order,-0.9276,ts-travel,-6.1918,ts-inside-payment,-7.0133,ts-admin-order,-14.509
28, -- ,ts-contacts,12.0,ts-inside-payment,9.0657,ts-preserve,8.5584,ts-security,5.8956,ts-food,5.0127,ts-auth,1.4102,ts-route,1.0,ts-price,0.9858,ts-food-map,0.8678,ts-rebook,0.0,ts-basic,0.0,ts-station,-0.5395,ts-config,-1.0,ts-train,-1.4697,ts-seat,-1.513,ts-consign,-1.9625,ts-payment,-4.3874,ts-travel,-6.9967,ts-user,-14.9391
29, -- ,ts-inside-payment,28.718,ts-payment,13.1604,ts-route,9.5871,ts-admin-order,4.9424,ts-notification,4.0,ts-station,2.0,ts-travel,1.4239,ts-auth,1.1166,ts-seat,0.9561,ts-delivery,0.0,ts-consign,0.0,ts-execute,-0.0,ts-config,-0.7071,ts-preserve,-2.0699,ts-food-map,-2.1691,ts-security,-3.3023,ts-ticketinfo,-6.6059,ts-train,-6.6356,ts-order,-6.9696,ts-food,-7.9757,ts-price,-12.9765,ts-user,-15.9026
30, -- ,ts-inside-payment,13.8749,ts-travel,7.9806,ts-food-map,7.9305,ts-food,4.5798,ts-user,3.951,ts-security,3.1635,ts-route,2.6484,ts-config,1.4142,ts-order,1.2611,ts-assurance,0.0,ts-basic,0.0,ts-station,-0.7902,ts-execute,-0.8009,ts-notification,-1.0,ts-price,-1.0046,ts-auth,-1.4162,ts-preserve,-2.1264,ts-train,-2.5994,ts-ticketinfo,-4.948,ts-payment,-6.8054,ts-seat,-7.0607,ts-admin-order,-9.704
31, -- ,ts-food-map,22.9429,ts-user,18.6759,ts-inside-payment,12.5386,ts-train,9.7554,ts-station,3.0,ts-price,1.3073,ts-admin-order,1.0,ts-config,0.0,ts-consign,0.0,ts-basic,0.0,ts-delivery,0.0,ts-auth,-0.9462,ts-order,-1.3044,ts-execute,-1.8147,ts-ticketinfo,-3.6407,ts-preserve,-3.7753,ts-seat,-3.8872,ts-food,-4.4485,ts-notification,-5.2247,ts-payment,-5.4893,ts-assurance,-6.0,ts-security,-6.2986,ts-route,-7.5323,ts-travel,-22.9638
