FAILURE_TYPE,FAILURE_PATTERN,SERVICE,experiment_begin_timestamp,experiment_end_timestamp,failure_begin_timestamp,folder_name,Disruption
CPU Stress,Linear,userapi,2023-05-15T16:45:58+02:00,2023-05-15T19:16:00+02:00,2023-05-15T17:16:00+02:00,linear-cpu-stress-userapi-051516,129
Memory Stress,Linear,userapi,2023-05-12T19:00:09+02:00,2023-05-12T21:30:00+02:00,2023-05-12T19:30:00+02:00,linear-memory-stress-userapi-051218,104
Network Delay,Linear,userapi,2023-05-18T16:45:54+02:00,2023-05-18T19:16:00+02:00,2023-05-18T17:16:00+02:00,linear-network-delay-userapi-051816,120
CPU Stress,Linear,redis,2023-09-15T14:58:51+02:00,2023-09-15T17:28:51+02:00,2023-09-15T15:28:52+02:00,linear-cpu-stress-redis-091514,100
Memory Stress,Linear,redis,2023-09-15T22:57:48+02:00,2023-09-16T01:27:48+02:00,2023-09-15T23:28:30+02:00,linear-memory-stress-redis-091522,100
Network Delay,Linear,redis,2023-09-20T16:25:23+02:00,2023-09-20T18:54:23+02:00,2023-09-20T16:55:00+02:00,linear-network-delay-redis-092016,125
CPU Stress,Linear,userhandlers,2023-10-05T17:13:20+02:00,2023-10-05T19:43:20+02:00,2023-10-05T17:44:00+02:00,linear-cpu-stress-userhandlers-100517,150
Memory Stress,Linear,userhandlers,2023-10-06T09:27:42+02:00,2023-10-06T11:57:42+02:00,2023-10-06T09:58:00+02:00,linear-memory-stress-userhandlers-100609,110
CPU Stress,Linear,identity,2023-10-04T10:13:13+02:00,2023-10-04T12:43:13+02:00,2023-10-04T10:44:00+02:00,linear-cpu-stress-identity-100410,38
Memory Stress,Linear,identity,2023-10-04T14:48:51+02:00,2023-10-04T17:18:51+02:00,2023-10-04T15:19:30+02:00,linear-memory-stress-identity-100414,47
