1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- ,fileapi,12.5092,identity,4.1102,gradeservice,1.1832,scorm,0.3895,userapi,-11.8427
22, -- ,scorm,1.6661,identity,0.8048,redis,0.0,gradeservice,-3.5024,userapi,-23.8708,fileapi,-24.3809
23, -- ,userhandlers,2.0684,redis,2.0,identity,-0.4686,scorm,-0.7285,fileapi,-1.6594,gradeservice,-3.2125
24, -- ,gradeservice,31.8403,redis,5.878,userhandlers,1.5035,scorm,-0.8189,fileapi,-2.1322,identity,-3.4035
25, -- ,identity,2.6988,gradeservice,2.0872,fileapi,1.9163,userhandlers,0.9521,scorm,-0.6779,userapi,-3.6317
26, -- ,gradeservice,10.5141,fileapi,2.2715,scorm,-0.7038,userhandlers,-1.3922,identity,-8.1769,userapi,-8.384
27, -- ,scorm,3.1703,userhandlers,-2.727,identity,-4.4434,fileapi,-29.2841
28, -- ,userhandlers,3.0384,scorm,2.0119,userapi,1.0,gradeservice,-0.4082,identity,-4.1707
29, -- ,userapi,19.7309,userhandlers,3.0763,scorm,1.6635,fileapi,-0.866,gradeservice,-2.5849,identity,-2.5884
30, -- ,userapi,40.1087,identity,12.048,scorm,5.0259,userhandlers,2.7244,fileapi,-0.8165,gradeservice,-2.031
31, -- ,scorm,4.8609,fileapi,-0.8165,userhandlers,-1.5698,userapi,-1.9172,identity,-3.3,gradeservice,-4.4794,identityapi,-6.0
32, -- ,scorm,4.2819,identity,2.4892,userhandlers,-4.3778,identityapi,-4.899,gradeservice,-12.6969
33, -- ,identity,18.0419,scorm,2.818,fileapi,0.0,userhandlers,-3.6105,identityapi,-4.2426,gradeservice,-15.9274
34, -- ,identity,22.9509,scorm,0.8038,userhandlers,-0.6671,userapi,-13.5714
35, -- ,identity,16.9543,scorm,0.7202,userhandlers,-1.6037,userapi,-6.8662
36, -- ,identity,29.3828,userhandlers,-1.3305,scorm,-3.132
37, -- ,identity,46.6335,gradeservice,-1.0,scorm,-2.9756,userhandlers,-3.0967
38, -- ,identity,58.4695,gradeservice,-0.866,userhandlers,-1.4511,scorm,-2.9175,userapi,-12.0069
39, -- ,identity,45.1787,gradeservice,-0.7454,scorm,-1.3628,userhandlers,-1.7733,userapi,-21.22
40, -- ,identity,59.414,fileapi,2.8631,gradeservice,-0.6325,scorm,-1.2247,userhandlers,-1.472,userapi,-5.7546
41, -- ,identity,68.5216,scorm,-2.5355,userhandlers,-3.5574
42, -- ,identity,72.3777,fileapi,1.6741,scorm,-2.1106,userhandlers,-3.0079,userapi,-5.2782,gradeservice,-5.518
43, -- ,identity,76.7552,scorm,0.866,userhandlers,-0.0343,userapi,-13.7962
44, -- ,identity,79.5822,scorm,-0.3318,userhandlers,-0.3368,gradeservice,-10.8325,userapi,-16.018
45, -- ,identity,24872825168080.977,scorm,2.3468,userhandlers,-2.2712
46, -- ,identity,24872825168098.605,scorm,1.3939,userhandlers,-3.0266,gradeservice,-4.0231
47, -- ,identity,26510386366763.793,gradeservice,292228117718.4934,userhandlers,-0.0321,scorm,-2.9722
48, -- ,gradeservice,292228117719.193,redis,0.2439,userhandlers,0.1237,scorm,0.099,identity,-102685355338.5782
49, -- ,identity,305250509016.7196,gradeservice,292228117730.9337,userhandlers,1.2537,redis,0.8233,ztool,0.24,userapi,-1.07,scorm,-4.6493
50, -- ,identity,34285840138696.742,gradeservice,292228117730.8652,scorm,1497979.9998,redis,0.8233,userhandlers,0.6014
51, -- ,identity,34897743656311.246,gradeservice,292228117708.6404,scorm,1497978.2978,redis,0.8233,userhandlers,-0.5653
52, -- ,identity,36840892028863.85,gradeservice,113508457653.6459,scorm,1497972.9283,userhandlers,0.565,redis,0.5335
53, -- ,identity,1834644717991.4531,gradeservice,113508457813.507,scorm,1497971.3449,redis,0.2438,userapi,0.009,userhandlers,-3.1222
