1, -- 
2, -- 
3, -- 
4, -- 
5, -- 
6, -- 
7, -- 
8, -- 
9, -- 
10, -- 
11, -- 
12, -- 
13, -- 
14, -- 
15, -- 
16, -- 
17, -- 
18, -- 
19, -- 
20, -- 
21, -- 
22, -- 
23, -- ,scorm,0.9211,gradeservice,-0.9186,identity,-1.2694,userhandlers,-1.3462,redis,-1.4254
24, -- ,userhandlers,0.1049,identity,-1.2273,scorm,-1.3416,redis,-2.8077,gradeservice,-4.1651
25, -- ,gradeservice,3.948,userhandlers,0.6906,redis,0.1439,scorm,-2.639,identity,-3.7503
26, -- ,gradeservice,6.877,redis,0.7269,userhandlers,0.0848,identity,-1.8517,scorm,-3.7926
27, -- ,scorm,1.0218,gradeservice,0.8107,redis,0.4348,userhandlers,0.0684,scormhandlers,0.0,identity,-0.6325
28, -- ,scormhandlers,6.0,fileapi,1.0,redis,0.4407,scorm,-0.079,userhandlers,-0.728,gradeservice,-18.6208
29, -- ,scormhandlers,7.3485,gradeservice,3.9221,redis,3.452,scorm,2.5985,userhandlers,0.9006,userapi,-1.0,fileapi,-1.7631
30, -- ,redis,2.7103,userhandlers,1.6463,scorm,1.2256,gradeservice,-1.2925,userapi,-4.9793,fileapi,-10.6129
31, -- ,redis,0.7767,scorm,-0.5277,userhandlers,-0.9015,gradeservice,-8.4853
32, -- ,redis,-1.2972,userhandlers,-1.6127,scorm,-1.965
33, -- ,userhandlers,4.3485,redis,1.0371,scorm,-0.0554,gradeservice,-0.7777
34, -- ,userhandlers,9.9079,gradeservice,3.3051,redis,2.628,scorm,1.3599,identity,-0.5774
35, -- ,userhandlers,13.8587,gradeservice,13.4941,redis,4.1008,identity,1.291,scorm,-0.1244
36, -- ,gradeservice,29.8479,userhandlers,11.3308,redis,1.1083,scorm,-0.1752,identity,-0.7746
37, -- ,gradeservice,13.6297,userhandlers,10.871,redis,2.8169,scorm,-0.2374,identity,-0.7071
38, -- ,userhandlers,12.7623,redis,4.6049,gradeservice,3.767,identity,-0.6547,scorm,-2.2314
39, -- ,userhandlers,15.4919,redis,8.0432,userapi,2.5356,identity,-0.1726,scorm,-2.8528,gradeservice,-7.8191
40, -- ,redis,26.1534,userhandlers,15.9674,identity,-0.5773,scorm,-2.6117,gradeservice,-6.2488
41, -- ,redis,23.2717,userhandlers,16.1599,userapi,0.0,identity,-0.5477,scorm,-2.3334,gradeservice,-4.1816
42, -- ,redis,20.7417,userhandlers,13.2489,identity,1.5811,scorm,-0.7386,userapi,-1.0,gradeservice,-3.3911
43, -- ,redis,15.718,userhandlers,8.0566,identity,0.3416,scorm,-1.3584,gradeservice,-3.2556
44, -- ,redis,12.9314,userhandlers,5.0864,scorm,2.1714,gradeservice,-0.3563,identity,-3.0548
45, -- ,redis,11.0687,scorm,1.8516,gradeservice,-0.8165,userhandlers,-1.4498
46, -- ,redis,9.6921,userhandlers,0.1332,scorm,-0.9968,gradeservice,-11.7501
47, -- ,userhandlers,20.9443,redis,8.6077,scormhandlers,0.0,scorm,-1.6058,gradeservice,-9.7097
48, -- ,userhandlers,19.2565,redis,7.7143,identity,1.4142,scorm,0.4479,gradeservice,0.0108,scormhandlers,0.0
49, -- ,userhandlers,11.9119,redis,7.7143,scorm,6.4285,scormhandlers,-0.1558,identity,-0.7071,gradeservice,-2.0355
50, -- ,redis,7.7143,scorm,2.776,identity,-0.7072,userhandlers,-1.5451,gradeservice,-2.5512
51, -- ,redis,7.7143,gradeservice,1.118,scorm,0.5913,userhandlers,0.5211
52, -- ,userapi,16.5516,redis,7.7144,scorm,1.3891,gradeservice,1.118,fileapi,0.0056,userhandlers,-0.8605
53, -- ,userhandlers,11.8292,userapi,9.9493,redis,7.7144,scorm,2.1926,gradeservice,-1.4167
54, -- ,userhandlers,9.6506,redis,7.7143,scorm,2.1926,userapi,0.7213,gradeservice,-20.0439
55, -- ,userhandlers,11.9403,redis,7.7142,scorm,2.1926,gradeservice,-23.9659
56, -- ,userhandlers,17.6428,redis,7.7143,scorm,2.1926,gradeservice,-1.141,identity,-1.7071
57, -- ,userhandlers,19.6137,redis,7.7143,scorm,0.5813,identity,-0.7071,gradeservice,-1.6568
58, -- ,userhandlers,21.2506,redis,7.7143,scorm,1.1979,identity,-1.0,gradeservice,-11.0696
59, -- ,userhandlers,3306946298189.0967,redis,7.7141,scorm,3.6049,gradeservice,-5.6566
60, -- ,userhandlers,3306946297992.252,redis,7.7139,scorm,1.0313,gradeservice,-5.6566
61, -- ,userhandlers,8681549076281.043,redis,7.7139,scorm,0.4479,gradeservice,-1.768,identity,-4.0
62, -- ,userhandlers,5374602778107.776,redis,7.7139,scorm,4.2439,identity,-0.7072,gradeservice,-6.0465
63, -- ,userhandlers,5374602778292.906,redis,7.714,scorm,2.1926,identity,1.4142,gradeservice,-2.9286
64, -- ,userhandlers,359.6645,redis,7.714,scorm,2.7759,gradeservice,0.0513,identity,-0.7071
65, -- ,scormhandlers,415.013,userhandlers,341.9758,redis,7.7141,scorm,0.5913,userapi,0.1916,gradeservice,-0.4644
66, -- ,scormhandlers,390.8571,userhandlers,237.8287,redis,7.7142,scorm,2.776,gradeservice,-4.928,userapi,-1441285.2463
67, -- ,scormhandlers,660.9351,userhandlers,20.0602,redis,7.7142,scorm,4.2439,gradeservice,-4.5777
68, -- ,scormhandlers,29.8442,redis,8.8792,userhandlers,3.7838,scorm,2.4992,fileapi,-1.0,gradeservice,-3.7049
69, -- ,userhandlers,23.8809,scormhandlers,17.8442,redis,8.8793,scorm,2.4992,gradeservice,1.118,fileapi,-1.0
70, -- ,userhandlers,7883543278412.07,redis,8.8792,gradeservice,1.118,scorm,0.8534,userapi,-1440672.8866
71, -- ,userhandlers,13258146056141.412,userapi,1833.5405,redis,7.7148,scorm,4.6493,scormhandlers,4.1199,fileapi,-3.3717,gradeservice,-5.8479
72, -- ,userhandlers,7883543277987.223,redis,7.7145,scorm,4.6493,scormhandlers,4.1199,gradeservice,-0.0374,fileapi,-1.7809
73, -- ,userhandlers,5374602779594.538,redis,7.7173,scorm,2.4992,scormhandlers,0.9999,fileapi,-1.0,gradeservice,-3.0101
74, -- ,userhandlers,403.8675,redis,7.7139,gradeservice,2.4264,scorm,-1.1534
75, -- ,userhandlers,8681549076879.431,redis,7.7151,gradeservice,4.7603,userapi,0.0,scorm,-1.1533,fileapi,-11.7718
76, -- ,userhandlers,3306946298449.174,fileapi,938249922365.6852,redis,7.715,gradeservice,6.051,scorm,0.5914
77, -- ,userhandlers,11292015475650.908,fileapi,938249922355.303,redis,7.7148,gradeservice,6.4297,scorm,-1.6033
78, -- ,userhandlers,7985069177389.834,gradeservice,21.9179,redis,7.7137,scorm,-3.2046
79, -- ,userhandlers,13359671955566.344,redis,7.7137,fileapi,3.8866,gradeservice,2.2992,userapi,0.4658,scorm,-0.9017
80, -- ,userhandlers,5374602778385.419,gradeservice,55.9692,scorm,34.2129,scormhandlers,33.2641,redis,7.7136,fileapi,5.4356,identityapi,0.0569,identity,-5.7058,userapi,-1440695.8165
81, -- ,userhandlers,8681549076485.538,userapi,1443661.5138,gradeservice,503.4671,scorm,344.556,scormhandlers,190.9879,fileapi,151.1831,identityapi,98.1192,identity,10.7622,redis,7.7134
82, -- ,userhandlers,3306946298342.5176,userapi,4330997.4799,gradeservice,547.4318,scorm,443.4635,scormhandlers,194.6415,identityapi,172.7008,fileapi,159.9576,identity,12.5362,redis,-0.7339
83, -- ,userhandlers,8681549076832.117,gradeservice,566.6942,scorm,521.1352,identityapi,205.5008,fileapi,198.2271,scormhandlers,173.6123,redis,-2.8598,identity,-4.7041,userapi,-1440395.4395
84, -- ,userhandlers,5374602778827.779,scorm,199.7582,rui,86.64,ztool,84.9002,identityapi,74.3482,author,70.2102,ui,63.4493,learner,53.2348,gradeservice,35.8438,scormhandlers,35.0214,fileapi,24.0425,identity,23.5533,redis,10.1147,userapi,5.5886
85, -- ,userhandlers,10749205557020.398,scorm,115.7332,scormhandlers,31.0559,fileapi,27.691,identityapi,20.8303,gradeservice,19.6721,redis,6.0574,identity,1.4141
86, -- ,userhandlers,10749205556400.377,scorm,115.9647,fileapi,108.5566,scormhandlers,44.1308,identityapi,42.6874,gradeservice,20.207,redis,3.2171,identity,-1.7072
87, -- ,userhandlers,10749205556353.922,fileapi,141.4377,scorm,118.201,scormhandlers,51.41,identityapi,51.3069,gradeservice,31.1597,identity,-1.0,redis,-24.8526
88, -- ,userhandlers,10749205556330.623,fileapi,124.9358,scorm,94.9655,scormhandlers,51.7457,gradeservice,41.3167,identityapi,32.7408,userapi,1.3555,identity,-1.0,redis,-18.4728
89, -- ,userhandlers,5374602778255.559,scorm,69.4285,scormhandlers,48.7497,gradeservice,31.7121,fileapi,30.2947,userapi,17.4364,identityapi,4.0853,redis,-4.0984
90, -- ,userhandlers,5374602778300.004,scorm,59.4931,scormhandlers,47.0525,gradeservice,26.4048,userapi,24.6378,fileapi,22.3981,redis,2.3783,identityapi,2.3126
91, -- ,userhandlers,147.7611,scorm,52.581,scormhandlers,44.9283,fileapi,28.2168,gradeservice,18.1896,userapi,7.9959,identityapi,1.7817,redis,1.4546
92, -- ,userhandlers,7985069177416.431,scorm,48.1757,scormhandlers,43.3471,fileapi,26.5412,gradeservice,16.3844,redis,1.199,identityapi,0.5546
93, -- ,userhandlers,7985069177441.614,scorm,47.8241,scormhandlers,41.6992,fileapi,19.3209,gradeservice,13.4499,redis,1.3136,identityapi,0.4782
94, -- ,userhandlers,7985069177413.632,scorm,42.6202,scormhandlers,40.2623,fileapi,13.0821,redis,0.992,identityapi,0.2759,gradeservice,-0.4805
95, -- ,scorm,44.7589,userhandlers,42.1177,scormhandlers,39.116,gradeservice,8.8998,fileapi,7.3798,redis,0.9553,identityapi,0.1279
96, -- ,userhandlers,86.9591,scorm,41.1347,scormhandlers,37.9792,fileapi,8.3472,gradeservice,2.3363,identityapi,0.4379,redis,0.4072
97, -- ,userhandlers,127.8995,scorm,39.8227,scormhandlers,37.5225,fileapi,8.0076,userapi,4.0423,identityapi,0.3705,redis,0.2823,gradeservice,-0.1067,identity,-0.7071
98, -- ,userhandlers,2610466399192.4634,scormhandlers,37.0343,scorm,35.4729,userapi,7.2221,fileapi,2.1657,identityapi,2.0318,redis,0.615,identity,-0.7071,gradeservice,-0.8354
99, -- ,userhandlers,7985069177314.118,scorm,36.5034,scormhandlers,36.4913,gradeservice,11.6862,redis,1.1077
100, -- ,userhandlers,7985069177454.1455,scormhandlers,36.0797,scorm,30.7251,gradeservice,11.4758,redis,1.0088
101, -- ,userhandlers,335.6088,scormhandlers,35.8737,scorm,30.6495,gradeservice,11.1162,redis,0.9015,fileapi,0.006
102, -- ,userhandlers,334.3403,scormhandlers,34.8998,scorm,23.3353,gradeservice,7.1379,redis,0.1857
103, -- ,userhandlers,2610466399371.683,scormhandlers,34.0062,scorm,18.5529,gradeservice,5.1018,redis,0.172,identity,-3.9983
104, -- ,userhandlers,7985069177471.448,scormhandlers,33.2428,scorm,6.9888,gradeservice,2.7727
105, -- ,userhandlers,7985069177439.107,scormhandlers,32.4419,scorm,2.7837,redis,1.1649,identityapi,0.0049,gradeservice,-6.0865
106, -- ,userhandlers,235.1479,scormhandlers,31.5262,scorm,2.8327,redis,1.1649,identityapi,0.006,gradeservice,-18.658
107, -- ,userhandlers,246.4766,scormhandlers,30.493,scorm,2.7992,gradeservice,2.0293,redis,1.1649,identity,0.4142,identityapi,0.0072
108, -- ,userapi,1808.9799,userhandlers,248.5272,scormhandlers,30.2022,scorm,6.5952,identity,1.4142,gradeservice,0.6648,identityapi,0.5287
109, -- ,scorm,5.5839,identity,0.8165,learner,0.0,author,0.0,rui,0.0,ui,0.0,ztool,0.0,userapi,0.0,gradeservice,-7.6133,userhandlers,-14.0538,scormhandlers,-43.3214
110, -- ,gradeservice,4.3629,learner,2.0,ztool,1.0,identity,0.7071,userapi,0.0,ui,0.0,rui,0.0,redis,0.0,author,-1.0,scorm,-5.4904,userhandlers,-15.363,scormhandlers,-46.9396
111, -- ,scormhandlers,54.2107,userapi,18.0,identity,18.0,ztool,15.2775,author,8.7071,ui,8.0,userhandlers,4.7735,learner,2.4142,rui,2.0,scorm,-2.3357,identityapi,-4.8115,gradeservice,-10.7638
112, -- ,identity,202628.6282,scorm,7763.3876,scormhandlers,344.1964,ztool,93.7572,userapi,47.6618,ui,28.5766,author,26.3333,rui,5.4567,learner,1.4049,identityapi,-4.4506,userhandlers,-6.817
113, -- ,identity,405102.2416,scorm,7763.3875,userapi,509.9737,scormhandlers,156.3274,ui,28.6667,author,28.6667,rui,9.1233,learner,8.5667,userhandlers,2.7688,redis,0.5335,identityapi,-4.8648,ztool,-121.5829
114, -- ,scorm,7766.0065,ui,11.0,author,11.0,rui,5.4567,learner,4.5667,userapi,1.8787,redis,0.8025,userhandlers,-34.1269,identity,-37.9568,ztool,-139.8747,scormhandlers,-302.2756
115, -- ,scorm,7763.3877,identity,17.4902,rui,1.4567,redis,0.8025,learner,0.2333,ui,-6.0,author,-6.0,userhandlers,-76.0013,ztool,-80.9867
116, -- ,scorm,7763.3878,identity,17.5056,ui,1.3333,author,1.3333,redis,0.922,rui,0.88,userapi,-0.0778,fileapi,-1.2247,ztool,-82.5243,userhandlers,-121.9621
117, -- ,scorm,8213.6585,fileapi,217.376,scormhandlers,202.4972,gradeservice,158.3766,identity,25.6195,identityapi,17.9244,userapi,3.097,redis,2.4918,author,0.6667,ui,0.6667,rui,0.5467,ztool,-114.6406,userhandlers,-150.2235
118, -- ,scorm,1015.7346,identityapi,270.2132,fileapi,230.9481,gradeservice,210.908,scormhandlers,198.0412,ztool,46.2428,identity,23.1196,redis,6.0236,userapi,-3.0638,userhandlers,-83.9445
119, -- ,gradeservice,1385.2565,scorm,1201.9769,identityapi,648.9596,fileapi,230.4724,scormhandlers,190.9398,redis,78.4177,ztool,49.2102,identity,21.3711,userhandlers,-70.79
120, -- ,gradeservice,1308.7853,identityapi,1056.6419,scorm,913.9069,redis,132.1083,ztool,99.2757,rui,63.9022,scormhandlers,28.8895,identity,25.6278,learner,21.5948,author,21.4705,ui,5.5719,userapi,0.0005,fileapi,-2.0204,userhandlers,-66.0529
121, -- ,gradeservice,1116.2141,identityapi,864.6266,scorm,192.2839,redis,104.4339,ztool,48.8826,identity,28.5575,userapi,15.4102,scormhandlers,-17.7714,fileapi,-26.3279,userhandlers,-77.1834
122, -- ,identityapi,698.2076,scorm,550.1081,redis,85.6685,ztool,47.1805,identity,33.7408,userapi,27.7366,fileapi,3.486,scormhandlers,-17.9707,gradeservice,-39.973,userhandlers,-102.3135
123, -- ,identityapi,514.163,scorm,396.5072,redis,117.2157,ztool,45.6742,identity,18.0703,scormhandlers,15.5208,userapi,12.3268,fileapi,-6.7552,userhandlers,-176.8289
124, -- ,identityapi,460.5454,scorm,358.0055,redis,113.4683,ztool,44.1351,scormhandlers,13.2793,userapi,-3.0639,identity,-4.6735,fileapi,-5.186,userhandlers,-134.2941
125, -- ,identityapi,307.7446,redis,119.7247,scormhandlers,43.4204,ztool,42.7118,identity,1.6107,scorm,-32.5725,userhandlers,-135.8736
126, -- ,identity,202468.1587,identityapi,165.3881,redis,120.7624,scormhandlers,41.5124,ztool,41.1959,fileapi,0.012,userapi,-0.0778,scorm,-2.2548,userhandlers,-122.4191
127, -- ,identity,607408.1754,redis,96.9603,identityapi,58.3082,ztool,39.709,scormhandlers,23.5999,userapi,12.3266,fileapi,0.012,scorm,-18.8957,gradeservice,-39.8568,userhandlers,-105.5246
128, -- ,identity,303696.6631,redis,90.3846,identityapi,60.6743,ztool,38.1217,scormhandlers,19.0061,userapi,6.1634,fileapi,0.012,gradeservice,-46.4124,userhandlers,-64.7226
129, -- ,identity,303699.7905,redis,95.6048,userapi,78.4771,ztool,36.6702,identityapi,32.9517,scormhandlers,9.3442,fileapi,-2.0683,gradeservice,-51.3984,userhandlers,-61.1523
130, -- ,ztool,34.9488,redis,33.6821,identityapi,11.1387,scormhandlers,7.2331,identity,-1.4144,fileapi,-1.852,userapi,-2.6673,userhandlers,-26.7889
131, -- ,ztool,33.2573,redis,28.7349,scormhandlers,5.5897,identityapi,1.0933,identity,-1.4551,fileapi,-1.9935,userapi,-3.064,userhandlers,-10.8146
132, -- ,ztool,31.2452,redis,22.1227,userhandlers,14.7059,scormhandlers,1.8575,identity,-31.8644
133, -- ,userhandlers,290.036,redis,59.2379,ztool,29.5457,scormhandlers,-1.5987,identity,-57.4667
134, -- ,userhandlers,331.2445,ztool,27.7751,redis,27.4361,identityapi,5.431,scormhandlers,-8.5729,identity,-30.3957
135, -- ,userhandlers,214.2775,ztool,25.5194,redis,23.0754,identityapi,5.1766,scormhandlers,-4.8263,identity,-39.8561
136, -- ,redis,39.8722,ztool,22.9311,identityapi,5.5375,scorm,1.511,userapi,0.0683,scormhandlers,-7.1121,userhandlers,-14.6428,identity,-96.5395
137, -- ,redis,54.8817,ztool,19.6767,identity,9.8686,scorm,1.511,userapi,1.2746,scormhandlers,-9.4957,userhandlers,-23.1899
138, -- ,redis,30.3386,identity,26.3219,ztool,17.0302,scorm,1.511,userapi,0.1867,scormhandlers,-11.9132,userhandlers,-37.1144
139, -- ,redis,23.0929,ztool,14.9681,userapi,-1.387,scormhandlers,-13.4605,userhandlers,-24.445,identity,-74.7659
140, -- ,redis,25.1574,ztool,13.0729,scorm,1.722,scormhandlers,-15.5173,userhandlers,-69.0262,identity,-73.1659,userapi,-74.4407
141, -- ,redis,19.8595,ztool,11.6969,fileapi,0.0121,scorm,-10.3321,scormhandlers,-21.3257,identity,-64.247,userhandlers,-85.0786,userapi,-194.5888
142, -- ,ztool,9.8606,userapi,4.0389,fileapi,0.1198,redis,-1.3093,identity,-7.9414,scormhandlers,-19.1167,userhandlers,-91.2889
143, -- ,ztool,8.2323,fileapi,0.2369,redis,-2.2872,identity,-10.5767,scormhandlers,-26.7425,userhandlers,-66.0993
144, -- ,userhandlers,10.7357,fileapi,1.9117,userapi,-1.0927,scorm,-4.169,redis,-9.4015,identity,-24.2762,scormhandlers,-39.4371,ztool,-51.0085
145, -- ,userhandlers,34.8699,scorm,-0.8723,userapi,-6.6162,redis,-8.4747,identity,-24.7864,scormhandlers,-40.8443,ztool,-50.6775
146, -- ,userhandlers,37.2523,scorm,3.6636,redis,0.1709,userapi,-4.6486,identity,-22.2099,scormhandlers,-37.7721,ztool,-50.8047
147, -- ,userhandlers,46.0378,userapi,7.8659,fileapi,1.0,redis,-0.6459,identity,-19.8544,scormhandlers,-40.5719,ztool,-50.2136
